WKC,GMN,Wijknaam,YEAR,Cluster_Reworked
WK051801,Gemeente 's-Gravenhage, Wijk 01 Oostduinen,2011,4
WK051802,Gemeente 's-Gravenhage, Wijk 02 Belgisch Park,2011,4
WK051804,Gemeente 's-Gravenhage, Wijk 04 Benoordenhout,2011,4
WK051805,Gemeente 's-Gravenhage, Wijk 05 Archipelbuurt,2011,4
WK051806,Gemeente 's-Gravenhage, Wijk 06 Van Stolkpark en Scheveningse Bo,2011,4
WK051809,Gemeente 's-Gravenhage, Wijk 09 Geuzen- en Statenkwartier,2011,4
WK051810,Gemeente 's-Gravenhage, Wijk 10 Zorgvliet,2011,4
WK051812,Gemeente 's-Gravenhage, Wijk 12 Bomen- en Bloemenbuurt,2011,4
WK051813,Gemeente 's-Gravenhage, Wijk 13 Vogelwijk,2011,4
WK051819,Gemeente 's-Gravenhage, Wijk 19 Vruchtenbuurt,2011,4
WK051823,Gemeente 's-Gravenhage, Wijk 23 Willemspark,2011,4
WK051841,Gemeente 's-Gravenhage, Wijk 41 Hoornwijk,2011,4
WK051843,Gemeente 's-Gravenhage, Wijk 43 Forepark,2011,4
WK060301,Gemeente Rijswijk, Wijk 01,2011,4
WK060303,Gemeente Rijswijk, Wijk 03,2011,4
WK060305,Gemeente Rijswijk, Wijk 05,2011,4
WK060310,Gemeente Rijswijk, Wijk 10,2011,4
WK060311,Gemeente Rijswijk, Wijk 11,2011,4
WK062900,Gemeente Wassenaar, Wijk 00 Zuidwestelijk deel der gemeente,2011,4
WK062901,Gemeente Wassenaar, Wijk 01 Noordoostelijk deel der gemeente,2011,4
WK191604,Gemeente Leidschendam-Voorburg, Wijk Stompwijk,2011,4
WK191612,Gemeente Leidschendam-Voorburg, Wijk Voorburg West / Park Leeuwenbergh,2011,4
WK191613,Gemeente Leidschendam-Voorburg, Wijk Voorburg Oud,2011,4
WK051803,Gemeente 's-Gravenhage, Wijk 03 Westbroekpark en Duttendel,2011,2
WK051807,Gemeente 's-Gravenhage, Wijk 07 Scheveningen,2011,2
WK051808,Gemeente 's-Gravenhage, Wijk 08 Duindorp,2011,2
WK051814,Gemeente 's-Gravenhage, Wijk 14 Bohemen en Meer en Bos,2011,2
WK051815,Gemeente 's-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2011,2
WK051816,Gemeente 's-Gravenhage, Wijk 16 Kraayenstein en Vroondaal,2011,2
WK051817,Gemeente 's-Gravenhage, Wijk 17 Loosduinen,2011,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2011,2
WK051824,Gemeente 's-Gravenhage, Wijk 24 Haagse Bos,2011,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2011,2
WK051832,Gemeente 's-Gravenhage, Wijk 32 Leyenburg,2011,2
WK060302,Gemeente Rijswijk, Wijk 02,2011,2
WK060304,Gemeente Rijswijk, Wijk 04,2011,2
WK060306,Gemeente Rijswijk, Wijk 06,2011,2
WK060307,Gemeente Rijswijk, Wijk 07,2011,2
WK060308,Gemeente Rijswijk, Wijk 08,2011,2
WK060309,Gemeente Rijswijk, Wijk 09,2011,2
WK191601,Gemeente Leidschendam-Voorburg, Wijk De Zijde / Duivenvoorde / Park Veursehou,2011,2
WK191602,Gemeente Leidschendam-Voorburg, Wijk Prinsenhof,2011,2
WK191603,Gemeente Leidschendam-Voorburg, Wijk 't Lien / De Rietvink,2011,2
WK191605,Gemeente Leidschendam-Voorburg, Wijk Leidschendam - Zuid en omgeving,2011,2
WK191606,Gemeente Leidschendam-Voorburg, Wijk De Heuvel / Amstelwijk,2011,2
WK191607,Gemeente Leidschendam-Voorburg, Wijk 07 Damsigt en omgeving,2011,2
WK191608,Gemeente Leidschendam-Voorburg, Wijk Essesteijn,2011,2
WK191609,Gemeente Leidschendam-Voorburg, Wijk Voorburg Midden,2011,2
WK191610,Gemeente Leidschendam-Voorburg, Wijk Bovenveen,2011,2
WK051811,Gemeente 's-Gravenhage, Wijk 11 Duinoord,2011,3
WK051820,Gemeente 's-Gravenhage, Wijk 20 Valkenboskwartier,2011,3
WK051821,Gemeente 's-Gravenhage, Wijk 21 Regentessekwartier,2011,3
WK051822,Gemeente 's-Gravenhage, Wijk 22 Zeeheldenkwartier,2011,3
WK051826,Gemeente 's-Gravenhage, Wijk 26 Bezuidenhout,2011,3
WK051827,Gemeente 's-Gravenhage, Wijk 27 Stationsbuurt,2011,3
WK051828,Gemeente 's-Gravenhage, Wijk 28 Centrum,2011,3
WK051831,Gemeente 's-Gravenhage, Wijk 31 Rustenburg en Oostbroek,2011,3
WK051839,Gemeente 's-Gravenhage, Wijk 39 Binckhorst,2011,3
WK051840,Gemeente 's-Gravenhage, Wijk 40 Wateringse Veld,2011,3
WK051842,Gemeente 's-Gravenhage, Wijk 42 Ypenburg,2011,3
WK051844,Gemeente 's-Gravenhage, Wijk 44 Leidschenveen,2011,3
WK191611,Gemeente Leidschendam-Voorburg, Wijk Voorburg Noord,2011,3
WK051829,Gemeente 's-Gravenhage, Wijk 29 Schildersbuurt,2011,1
WK051830,Gemeente 's-Gravenhage, Wijk 30 Transvaalkwartier,2011,1
WK051833,Gemeente 's-Gravenhage, Wijk 33 Bouwlust en Vrederust,2011,1
WK051834,Gemeente 's-Gravenhage, Wijk 34 Morgenstond,2011,1
WK051835,Gemeente 's-Gravenhage, Wijk 35 Zuiderpark,2011,1
WK051836,Gemeente 's-Gravenhage, Wijk 36 Moerwijk,2011,1
WK051837,Gemeente 's-Gravenhage, Wijk 37 Groente- en Fruitmarkt,2011,1
WK051838,Gemeente 's-Gravenhage, Wijk 38 Laakkwartier en Spoorwijk,2011,1
WK051801,Gemeente 's-Gravenhage, Wijk 01 Oostduinen,2012,4
WK051802,Gemeente 's-Gravenhage, Wijk 02 Belgisch Park,2012,4
WK051804,Gemeente 's-Gravenhage, Wijk 04 Benoordenhout,2012,4
WK051805,Gemeente 's-Gravenhage, Wijk 05 Archipelbuurt,2012,4
WK051806,Gemeente 's-Gravenhage, Wijk 06 Van Stolkpark en Scheveningse Bo,2012,4
WK051809,Gemeente 's-Gravenhage, Wijk 09 Geuzen- en Statenkwartier,2012,4
WK051810,Gemeente 's-Gravenhage, Wijk 10 Zorgvliet,2012,4
WK051812,Gemeente 's-Gravenhage, Wijk 12 Bomen- en Bloemenbuurt,2012,4
WK051813,Gemeente 's-Gravenhage, Wijk 13 Vogelwijk,2012,4
WK051819,Gemeente 's-Gravenhage, Wijk 19 Vruchtenbuurt,2012,4
WK051823,Gemeente 's-Gravenhage, Wijk 23 Willemspark,2012,4
WK051841,Gemeente 's-Gravenhage, Wijk 41 Hoornwijk,2012,4
WK051843,Gemeente 's-Gravenhage, Wijk 43 Forepark,2012,4
WK060301,Gemeente Rijswijk, Wijk 01,2012,4
WK060303,Gemeente Rijswijk, Wijk 03,2012,4
WK060305,Gemeente Rijswijk, Wijk 05,2012,4
WK060310,Gemeente Rijswijk, Wijk 10,2012,4
WK060311,Gemeente Rijswijk, Wijk 11,2012,4
WK062900,Gemeente Wassenaar, Wijk 00 Zuidwestelijk deel der gemeente,2012,4
WK062901,Gemeente Wassenaar, Wijk 01 Noordoostelijk deel der gemeente,2012,4
WK191604,Gemeente Leidschendam-Voorburg, Wijk Stompwijk,2012,4
WK191612,Gemeente Leidschendam-Voorburg, Wijk Voorburg West / Park Leeuwenbergh,2012,4
WK191613,Gemeente Leidschendam-Voorburg, Wijk Voorburg Oud,2012,4
WK051803,Gemeente 's-Gravenhage, Wijk 03 Westbroekpark en Duttendel,2012,2
WK051807,Gemeente 's-Gravenhage, Wijk 07 Scheveningen,2012,2
WK051808,Gemeente 's-Gravenhage, Wijk 08 Duindorp,2012,2
WK051814,Gemeente 's-Gravenhage, Wijk 14 Bohemen en Meer en Bos,2012,2
WK051815,Gemeente 's-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2012,2
WK051816,Gemeente 's-Gravenhage, Wijk 16 Kraayenstein en Vroondaal,2012,2
WK051817,Gemeente 's-Gravenhage, Wijk 17 Loosduinen,2012,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2012,2
WK051824,Gemeente 's-Gravenhage, Wijk 24 Haagse Bos,2012,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2012,2
WK051832,Gemeente 's-Gravenhage, Wijk 32 Leyenburg,2012,2
WK060302,Gemeente Rijswijk, Wijk 02,2012,2
WK060304,Gemeente Rijswijk, Wijk 04,2012,2
WK060306,Gemeente Rijswijk, Wijk 06,2012,2
WK060307,Gemeente Rijswijk, Wijk 07,2012,2
WK060308,Gemeente Rijswijk, Wijk 08,2012,2
WK060309,Gemeente Rijswijk, Wijk 09,2012,2
WK191601,Gemeente Leidschendam-Voorburg, Wijk De Zijde / Duivenvoorde / Park Veursehou,2012,2
WK191602,Gemeente Leidschendam-Voorburg, Wijk Prinsenhof,2012,2
WK191603,Gemeente Leidschendam-Voorburg, Wijk 't Lien / De Rietvink,2012,2
WK191605,Gemeente Leidschendam-Voorburg, Wijk Leidschendam - Zuid en omgeving,2012,2
WK191606,Gemeente Leidschendam-Voorburg, Wijk De Heuvel / Amstelwijk,2012,2
WK191607,Gemeente Leidschendam-Voorburg, Wijk 07 Damsigt en omgeving,2012,2
WK191608,Gemeente Leidschendam-Voorburg, Wijk Essesteijn,2012,2
WK191609,Gemeente Leidschendam-Voorburg, Wijk Voorburg Midden,2012,2
WK191610,Gemeente Leidschendam-Voorburg, Wijk Bovenveen,2012,2
WK051811,Gemeente 's-Gravenhage, Wijk 11 Duinoord,2012,3
WK051820,Gemeente 's-Gravenhage, Wijk 20 Valkenboskwartier,2012,3
WK051821,Gemeente 's-Gravenhage, Wijk 21 Regentessekwartier,2012,3
WK051822,Gemeente 's-Gravenhage, Wijk 22 Zeeheldenkwartier,2012,3
WK051826,Gemeente 's-Gravenhage, Wijk 26 Bezuidenhout,2012,3
WK051827,Gemeente 's-Gravenhage, Wijk 27 Stationsbuurt,2012,3
WK051828,Gemeente 's-Gravenhage, Wijk 28 Centrum,2012,3
WK051831,Gemeente 's-Gravenhage, Wijk 31 Rustenburg en Oostbroek,2012,3
WK051839,Gemeente 's-Gravenhage, Wijk 39 Binckhorst,2012,3
WK051840,Gemeente 's-Gravenhage, Wijk 40 Wateringse Veld,2012,3
WK051842,Gemeente 's-Gravenhage, Wijk 42 Ypenburg,2012,3
WK051844,Gemeente 's-Gravenhage, Wijk 44 Leidschenveen,2012,3
WK191611,Gemeente Leidschendam-Voorburg, Wijk Voorburg Noord,2012,3
WK051829,Gemeente 's-Gravenhage, Wijk 29 Schildersbuurt,2012,1
WK051830,Gemeente 's-Gravenhage, Wijk 30 Transvaalkwartier,2012,1
WK051833,Gemeente 's-Gravenhage, Wijk 33 Bouwlust en Vrederust,2012,1
WK051834,Gemeente 's-Gravenhage, Wijk 34 Morgenstond,2012,1
WK051835,Gemeente 's-Gravenhage, Wijk 35 Zuiderpark,2012,1
WK051836,Gemeente 's-Gravenhage, Wijk 36 Moerwijk,2012,1
WK051837,Gemeente 's-Gravenhage, Wijk 37 Groente- en Fruitmarkt,2012,1
WK051838,Gemeente 's-Gravenhage, Wijk 38 Laakkwartier en Spoorwijk,2012,1
WK051801,Gemeente 's-Gravenhage, Wijk 01 Oostduinen,2013,4
WK051802,Gemeente 's-Gravenhage, Wijk 02 Belgisch Park,2013,4
WK051804,Gemeente 's-Gravenhage, Wijk 04 Benoordenhout,2013,4
WK051805,Gemeente 's-Gravenhage, Wijk 05 Archipelbuurt,2013,4
WK051806,Gemeente 's-Gravenhage, Wijk 06 Van Stolkpark en Scheveningse Bo,2013,4
WK051809,Gemeente 's-Gravenhage, Wijk 09 Geuzen- en Statenkwartier,2013,4
WK051810,Gemeente 's-Gravenhage, Wijk 10 Zorgvliet,2013,4
WK051812,Gemeente 's-Gravenhage, Wijk 12 Bomen- en Bloemenbuurt,2013,4
WK051813,Gemeente 's-Gravenhage, Wijk 13 Vogelwijk,2013,4
WK051819,Gemeente 's-Gravenhage, Wijk 19 Vruchtenbuurt,2013,4
WK051823,Gemeente 's-Gravenhage, Wijk 23 Willemspark,2013,4
WK051841,Gemeente 's-Gravenhage, Wijk 41 Hoornwijk,2013,4
WK051843,Gemeente 's-Gravenhage, Wijk 43 Forepark,2013,4
WK060301,Gemeente Rijswijk, Wijk 01,2013,4
WK060303,Gemeente Rijswijk, Wijk 03,2013,4
WK060305,Gemeente Rijswijk, Wijk 05,2013,4
WK060310,Gemeente Rijswijk, Wijk 10,2013,4
WK060311,Gemeente Rijswijk, Wijk 11,2013,4
WK062900,Gemeente Wassenaar, Wijk 00 Zuidwestelijk deel der gemeente,2013,4
WK191604,Gemeente Leidschendam-Voorburg, Wijk Stompwijk,2013,4
WK191612,Gemeente Leidschendam-Voorburg, Wijk Voorburg West / Park Leeuwenbergh,2013,4
WK191613,Gemeente Leidschendam-Voorburg, Wijk Voorburg Oud,2013,4
WK051803,Gemeente 's-Gravenhage, Wijk 03 Westbroekpark en Duttendel,2013,2
WK051807,Gemeente 's-Gravenhage, Wijk 07 Scheveningen,2013,2
WK051808,Gemeente 's-Gravenhage, Wijk 08 Duindorp,2013,2
WK051814,Gemeente 's-Gravenhage, Wijk 14 Bohemen en Meer en Bos,2013,2
WK051815,Gemeente 's-Gravenhage, Wijk 15 Kijkduin en Ockenburgh,2013,2
WK051816,Gemeente 's-Gravenhage, Wijk 16 Kraayenstein en Vroondaal,2013,2
WK051817,Gemeente 's-Gravenhage, Wijk 17 Loosduinen,2013,2
WK051818,Gemeente 's-Gravenhage, Wijk 18 Waldeck,2013,2
WK051824,Gemeente 's-Gravenhage, Wijk 24 Haagse Bos,2013,2
WK051825,Gemeente 's-Gravenhage, Wijk 25 Mariahoeve en Marlot,2013,2
WK051832,Gemeente 's-Gravenhage, Wijk 32 Leyenburg,2013,2
WK060302,Gemeente Rijswijk, Wijk 02,2013,2
WK060304,Gemeente Rijswijk, Wijk 04,2013,2
WK060306,Gemeente Rijswijk, Wijk 06,2013,2
WK060307,Gemeente Rijswijk, Wijk 07,2013,2
WK060308,Gemeente Rijswijk, Wijk 08,2013,2
WK060309,Gemeente Rijswijk, Wijk 09,2013,2
WK062901,Gemeente Wassenaar, Wijk 01 Noordoostelijk deel der gemeente,2013,2
WK191601,Gemeente Leidschendam-Voorburg, Wijk De Zijde / Duivenvoorde / Park Veursehou,2013,2
WK191602,Gemeente Leidschendam-Voorburg, Wijk Prinsenhof,2013,2
WK191603,Gemeente Leidschendam-Voorburg, Wijk 't Lien / De Rietvink,2013,2
WK191605,Gemeente Leidschendam-Voorburg, Wijk Leidschendam - Zuid en omgeving,2013,2
WK191606,Gemeente Leidschendam-Voorburg, Wijk De Heuvel / Amstelwijk,2013,2
WK191607,Gemeente Leidschendam-Voorburg, Wijk 07 Damsigt en omgeving,2013,2
WK191608,Gemeente Leidschendam-Voorburg, Wijk Essesteijn,2013,2
WK191609,Gemeente Leidschendam-Voorburg, Wijk Voorburg Midden,2013,2
WK191610,Gemeente Leidschendam-Voorburg, Wijk Bovenveen,2013,2
WK051811,Gemeente 's-Gravenhage, Wijk 11 Duinoord,2013,3
WK051820,Gemeente 's-Gravenhage, Wijk 20 Valkenboskwartier,2013,3
WK051821,Gemeente 's-Gravenhage, Wijk 21 Regentessekwartier,2013,3
WK051822,Gemeente 's-Gravenhage, Wijk 22 Zeeheldenkwartier,2013,3
WK051826,Gemeente 's-Gravenhage, Wijk 26 Bezuidenhout,2013,3
WK051827,Gemeente 's-Gravenhage, Wijk 27 Stationsbuurt,2013,3
WK051828,Gemeente 's-Gravenhage, Wijk 28 Centrum,2013,3
WK051831,Gemeente 's-Gravenhage, Wijk 31 Rustenburg en Oostbroek,2013,3
WK051839,Gemeente 's-Gravenhage, Wijk 39 Binckhorst,2013,3
WK051840,Gemeente 's-Gravenhage, Wijk 40 Wateringse Veld,2013,3
WK051842,Gemeente 's-Gravenhage, Wijk 42 Ypenburg,2013,3
WK051844,Gemeente 's-Gravenhage, Wijk 44 Leidschenveen,2013,3
WK191611,Gemeente Leidschendam-Voorburg, Wijk Voorburg Noord,2013,3
WK051829,Gemeente 's-Gravenhage, Wijk 29 Schildersbuurt,2013,1
WK051830,Gemeente 's-Gravenhage, Wijk 30 Transvaalkwartier,2013,1
WK051833,Gemeente 's-Gravenhage, Wijk 33 Bouwlust en Vrederust,2013,1
WK051834,Gemeente 's-Gravenhage, Wijk 34 Morgenstond,2013,1
WK051835,Gemeente 's-Gravenhage, Wijk 35 Zuiderpark,2013,1
WK051836,Gemeente 's-Gravenhage, Wijk 36 Moerwijk,2013,1
WK051837,Gemeente 's-Gravenhage, Wijk 37 Groente- en Fruitmarkt,2013,1
WK051838,Gemeente 's-Gravenhage, Wijk 38 Laakkwartier en Spoorwijk,2013,1
WK051801,Gemeente 's-Gravenhage, Wijk 01 Oostduinen,2014,3
WK051802,Gemeente 's-Gravenhage, Wijk 02 Belgisch Park,2014,3
WK051804,Gemeente 's-Gravenhage, Wijk 04 Benoordenhout,2014,3
WK051805,Gemeente 's-Gravenhage, Wijk 05 Archipelbuurt,2014,3
WK051809,Gemeente 's-Gravenhage, Wijk 09 Geuzen- en Statenkwartier,2014,3
WK051811,Gemeente 's-Gravenhage, Wijk 11 Duinoord,2014,3
WK051812,Gemeente 's-Gravenhage, Wijk 12 Bomen- en Bloemenbuurt,2014,3
WK051813,Gemeente 's-Gravenhage, Wijk 13 Vogelwijk,2014,3
WK051819,Gemeente 's-Gravenhage, Wijk 19 Vruchtenbuurt,2014,3
WK051820,Gemeente 's-Gravenhage, Wijk 20 Valkenboskwartier,2014,3
WK051821,Gemeente 's-Gravenhage, Wijk 21 Regentessekwartier,2014,3
WK051822,Gemeente 's-Gravenhage, Wijk 22 Zeeheldenkwartier,2014,3
WK051823,Gemeente 's-Gravenhage, Wijk 23 Willemspark,2014,3
WK051826,Gemeente 's-Gravenhage, Wijk 26 Bezuidenhout,2014,3
WK051827,Gemeente 's-Gravenhage, Wijk 27 Stationsbuurt,2014,3
WK051828,Gemeente 's-Gravenhage, Wijk 28 Centrum,2014,3
WK051839,Gemeente 's-Gravenhage, Wijk 39 Binckhorst,2014,3
WK051840,Gemeente 's-Gravenhage, Wijk 40 Wateringse Veld,2014,3
WK051842,Gemeente 's-Gravenhage, Wijk 42 Ypenburg,2014,3
WK051844,Gemeente 's-Gravenhage, Wijk 44 Leidschenveen,2014,3
WK060301,Gemeente Rijswijk, Wijk 01,2014,3
WK060310,Gemeente Rijswijk, Wijk 10,2014,3
WK060311,Gemeente Rijswijk, Wijk 11,2014,3
